ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID
520	Lhota	LHO	naga	loth1237	eye	25	o:mhyek	oːmhyek	109	109:eye	20	0	Naga Lotha	43
521	Yimchunrü	YIM	naga	yimc1240	eye	25	mɨk=chi	mɨkchi	109	109:eye	20	0	Naga Yimchungru	43
522	Ao-Chungli	AOC	naga	chon1286	eye	25	tenɨk	tenɨk	109	109:eye	20	0	Naga Ao	43
523	Ao-Mongsen	AOM	naga	mong1332	eye	25	tenik	tenik	109	109:eye	20	0	Naga Ao	43
524	Nusu	NUS	nung	nusu1239	eye	25	mia.53 ʒ́i.31	mia⁵³_ʒ́i³¹	109	109:eye	20	0	Stage 2	43
525	Serdukpen	SER	sul	sher1257	eye	25	khi=bi	khibi	4431	4431:eye	20	0	Stage 2	615
526	N-Qiang	QIA	syc	nort2722	eye	25	qə=n	qən	109	109:eye	20	0	Stage 2	43
527	Zhaba	ZHA	syc	zhab1238	eye	25	mjoʔ.21 tʃi.55	mjoʔ²¹_tʃi⁵⁵	109	109:eye	20	0	Stage 2	43
528	Tujia	TUJ	tujia	nort2732	eye	25	lo.3 pu.1	lo³_pu¹	4534	4534:eye	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	656
529	Sherpa	SHE	tib	sher1255	eye	25	mik.HF	mikHF	109	109:eye	20	0	Solu-Khumbu Sherpa	43
530	Bokar	BOK	tani	bori1243	eye	25	mik	mik	109	109:eye	20	0	Stage 2	43
531	Nishi	NIS	tani	nisi1238	eye	25	eńi	eńi	109	109:eye	20	0	Nisi?	43
2202	Lijiang-Naxi	LIJ	bur	lich1241	far	101	khɨ.33 kho.33	khɨ³³_kho³³	4057	4057:far	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	531
2203	Ninglang-Naxi	NIN	bur	naxi1245	far	101	źa.31 ṣa.55	źa³¹_ṣa⁵⁵	2769	2769:far	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	478
2204	Jinuo	JIN	bur	youl1235	far	101	xə.44	xə⁴⁴	4057	4057:far	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	531
2205	Jingpo	JNP	jnp	kach1280	far	101	ca̲n.33	ca̲n³³	1617	1617:far	20	0	Jinghpaw	188
2206	Yeinbaw	YEI	kar	yinb1236	far	101	źe.33	źe³³	2508	2508:far	20	0	Yinbaw Karen	367
2207	Geker	GEK	kar	geko1235	far	101	ji.33	ji³³	2508	2508:far	20	0	Geko Karen?	367
2208	Manu	MNU	kar	manu1255	far	101	źị.11	źị¹¹	2508	2508:far	20	0	Manumanaw Karen	367
2209	W. Kayah	KYH	kar	west2409	far	101	źiẹ.11	źiẹ¹¹	2508	2508:far	20	0	Kayah Western	367
2210	Yintale	YIN	kar	yint1235	far	101	ʔa.11 jɨ.33	ʔa¹¹_jɨ³³	2508	2508:far	20	0	Yintale Karen	367
2211	Motuo-M	MOT	mot	dakp1242	far	101	thaʔ riŋmo TIB	thaʔ_riŋmo_TIB	-1	-1-18	20	1	Tawang Monpa, Dakpakha?	10
2212	Lhota	LHO	naga	loth1237	far	101	eko:ni, la:nko:	ekoːni	4057	4057:far	20	0	Naga Lotha	531
2213	Ao-Chungli	AOC	naga	chon1286	far	101	telaŋka	telaŋka	1713	1713:far	20	0	Naga Ao	221
2214	Ao-Mongsen	AOM	naga	mong1332	far	101	ura	ura	4058	4058:far	20	0	Naga Ao	532
2215	Nusu	NUS	nung	nusu1239	far	101	ue.55	ue⁵⁵	2555	2555:far	20	0	Stage 2	376
2216	Serdukpen	SER	sul	sher1257	far	101	achi=kho	achikho	2769	2769:far	20	0	Stage 2	478
2217	N-Qiang	QIA	syc	nort2722	far	101	[guər] χe	_χe	2555	2555:far	20	0	Stage 2	376
2218	Zhaba	ZHA	syc	zhab1238	far	101	ve.21	ve²¹	2555	2555:far	20	0	Stage 2	376
2219	Tujia	TUJ	tujia	nort2732	far	101	ɣɨe.4	ɣɨe⁴	749	749:far	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	746
2220	Sherpa	SHE	tib	sher1255	far	101	thak.HF riŋ=bu.	thakHF_riŋbu	749	749:far	20	0	Solu-Khumbu Sherpa	746
2221	Bokar	BOK	tani	bori1243	far	101	a:to	aːto	470	470:far	20	0	Stage 2	676
2222	Nishi	NIS	tani	nisi1238	far	101	a:do	aːdo	470	470:far	20	0	Nisi?	676
544	Ao-Mongsen	AOM	naga	mong1332	fat	26	tɨso	tɨso	1207	1207:fat	20	0	Naga Ao	81
532	Jingpo	JNP	jnp	kach1280	fat n.	26	sau.55	sau⁵⁵	1207	1207:fat n.	20	0	Jinghpaw	82
533	Yeinbaw	YEI	kar	yinb1236	fat n.	26	bwv.55	bwv⁵⁵	2717	2717:fat n.	20	0	Yinbaw Karen	432
534	Geker	GEK	kar	geko1235	fat n.	26	ʔəb̄ʌiʔ.53	ʔəb̄ʌiʔ⁵³	315	315:fat n.	20	0	Geko Karen?	499
535	Manu	MNU	kar	manu1255	fat n.	26	so.44	so⁴⁴	1207	1207:fat n.	20	0	Manumanaw Karen	82
536	W. Kayah	KYH	kar	west2409	fat n.	26	ću.55	ću⁵⁵	1207	1207:fat n.	20	0	Kayah Western	82
537	Yintale	YIN	kar	yint1235	fat n.	26	bai.55	bai⁵⁵	315	315:fat n.	20	0	Yintale Karen	499
538	Lhota	LHO	naga	loth1237	fat n.	26	ekhu	ekhu	2716	2716:fat n.	20	0	Naga Lotha	431
539	Ao-Chungli	AOC	naga	chon1286	fat n.	26	temo	temo	76	76:fat n.	20	0	Naga Ao	751
540	Ao-Mongsen	AOM	naga	mong1332	fat n.	26	samo	samo	76	76:fat n.	20	0	Naga Ao	751
541	Serdukpen	SER	sul	sher1257	fat n.	26	ayo	ayo	2718	2718:fat n.	20	0	Stage 2	433
542	Sherpa	SHE	tib	sher1255	fat n.	26	chi=luk. LR	chiluk_LR	1378	1378:fat n.	20	0	Solu-Khumbu Sherpa	119
543	Nishi	NIS	tani	nisi1238	fat n.	26	ogh	ogh	448	448:fat n.	20	0	Nisi?	637
545	Lijiang-Naxi	LIJ	bur	lich1241	feather	27	no.21	no²¹	81	81:feather	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	757
546	Jinuo	JIN	bur	youl1235	feather	27	mɨ.44 nu.44	mɨ⁴⁴_nu⁴⁴	81	81:feather	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	757
547	Jingpo	JNP	jnp	kach1280	feather	27	mun.33	mun³³	158	158:feather	20	0	Jinghpaw	175
548	Yeinbaw	YEI	kar	yinb1236	feather	27	ʃhwv.11	ʃhwv¹¹	1198	1198:feather	20	0	Yinbaw Karen	74
549	Geker	GEK	kar	geko1235	feather	27	thəɨ.22 ʃuʔ.53	thəɨ²²_ʃuʔ⁵³	1198	1198:feather	20	0	Geko Karen?	74
550	Manu	MNU	kar	manu1255	feather	27	ʃho.33	ʃho³³	1198	1198:feather	20	0	Manumanaw Karen	74
551	W. Kayah	KYH	kar	west2409	feather	27	thu.11 shɨ.11	thu¹¹_shɨ¹¹	1198	1198:feather	20	0	Kayah Western	74
552	Yintale	YIN	kar	yint1235	feather	27	shəo.33	shəo³³	1198	1198:feather	20	0	Yintale Karen	74
553	Motuo-M	MOT	mot	dakp1242	feather	27	ʒ̣o	ʒ̣o	2559	2559:feather	20	0	Tawang Monpa, Dakpakha?	377
554	Lhota	LHO	naga	loth1237	feather	27	o:hɨm	oːhɨm	4060	4060:feather	20	0	Naga Lotha	533
555	Ao-Chungli	AOC	naga	chon1286	feather	27	eńo	eńo	546	546:feather	20	0	Naga Ao	695
556	Ao-Mongsen	AOM	naga	mong1332	feather	27	towa	towa	2559	2559:feather	20	0	Naga Ao	377
557	Nusu	NUS	nung	nusu1239	feather	27	mhɨi.55	mhɨi⁵⁵	158	158:feather	20	0	Stage 2	175
558	Serdukpen	SER	sul	sher1257	feather	27	naphaŋ-amin	naphaŋ-amin	272	272:feather	20	0	Stage 2	443
559	N-Qiang	QIA	syc	nort2722	feather	27	hu pa	hu_pa	1198	1198:feather	20	0	Stage 2	74
560	Zhaba	ZHA	syc	zhab1238	feather	27	ʃŏ.21 mau.55	ʃŏ²¹_mau⁵⁵	81	81:feather	20	0	Stage 2	757
561	Tujia	TUJ	tujia	nort2732	feather	27	si.3 ka.1	si³_ka¹	4535	4535:feather	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	657
562	Sherpa	SHE	tib	sher1255	feather	27	pu=zok.HF	puzokHF	374	374:feather	20	0	Solu-Khumbu Sherpa	516
563	Bokar	BOK	tani	bori1243	feather	27	ńu yi:	ńu_yiː	4303	4303:feather	20	0	Stage 2	577
564	Nishi	NIS	tani	nisi1238	feather	27	əm	əm	158	158:feather	20	0	Nisi?	175
565	Serdukpen	SER	sul	sher1257	feather	27	naphaŋ-amin	naphaŋ-amin	158	158:feather	20	0	Stage 2	175
566	Lijiang-Naxi	LIJ	bur	lich1241	fire	28	mi.33	mi³³	84	84:fire	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	760
567	Ninglang-Naxi	NIN	bur	naxi1245	fire	28	mv.33	mv³³	84	84:fire	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	760
568	Jinuo	JIN	bur	youl1235	fire	28	mi.44	mi⁴⁴	84	84:fire	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	760
569	Jingpo	JNP	jnp	kach1280	fire	28	wan.31	wan³¹	442	442:fire	20	0	Jinghpaw	613
570	Yeinbaw	YEI	kar	yinb1236	fire	28	mi.22	mi²²	84	84:fire	20	0	Yinbaw Karen	760
571	Geker	GEK	kar	geko1235	fire	28	meiʔ.53 ʔu.33	meiʔ⁵³_ʔu³³	84	84:fire	20	0	Geko Karen?	760
572	Manu	MNU	kar	manu1255	fire	28	mi.44	mi⁴⁴	84	84:fire	20	0	Manumanaw Karen	760
573	W. Kayah	KYH	kar	west2409	fire	28	mi.11	mi¹¹	84	84:fire	20	0	Kayah Western	760
574	Yintale	YIN	kar	yint1235	fire	28	mi:.33	miː³³	84	84:fire	20	0	Yintale Karen	760
575	Motuo-M	MOT	mot	dakp1242	fire	28	mi	mi	84	84:fire	20	0	Tawang Monpa, Dakpakha?	760
576	Lhota	LHO	naga	loth1237	fire	28	o:mi	oːmi	84	84:fire	20	0	Naga Lotha	760
577	Yimchunrü	YIM	naga	yimc1240	fire	28	mo	mo	84	84:fire	20	0	Naga Yimchungru	760
578	Ao-Chungli	AOC	naga	chon1286	fire	28	mi	mi	84	84:fire	20	0	Naga Ao	760
579	Ao-Mongsen	AOM	naga	mong1332	fire	28	mizɨ	mizɨ	84	84:fire	20	0	Naga Ao	760
580	Nusu	NUS	nung	nusu1239	fire	28	mi.55	mi⁵⁵	84	84:fire	20	0	Stage 2	760
581	Serdukpen	SER	sul	sher1257	fire	28	ba	ba	84	84:fire	20	0	Stage 2	760
582	N-Qiang	QIA	syc	nort2722	fire	28	mə	mə	84	84:fire	20	0	Stage 2	760
583	Zhaba	ZHA	syc	zhab1238	fire	28	mji.21	mji²¹	84	84:fire	20	0	Stage 2	760
584	Tujia	TUJ	tujia	nort2732	fire	28	mi.1	mi¹	84	84:fire	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	760
585	Sherpa	SHE	tib	sher1255	fire	28	me. LR	me_LR	84	84:fire	20	0	Solu-Khumbu Sherpa	760
586	Bokar	BOK	tani	bori1243	fire	28	ə mə	ə_mə	84	84:fire	20	0	Stage 2	760
587	Nishi	NIS	tani	nisi1238	fire	28	əm	əm	84	84:fire	20	0	Nisi?	760
588	N-Qiang	QIA	syc	nort2722	fish	29	ʁʒə	ʁʒə	4063	4063:fish	20	0	Stage 2	534
589	Lijiang-Naxi	LIJ	bur	lich1241	fish	29	ńi.33	ńi³³	2501	2501:fish	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	363
590	Ninglang-Naxi	NIN	bur	naxi1245	fish	29	ńi.33 zo.33	ńi³³_zo³³	2501	2501:fish	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	363
591	Jinuo	JIN	bur	youl1235	fish	29	ŋhɔ.44 ʃɔ.44	ŋhɔ⁴⁴_ʃɔ⁴⁴	2501	2501:fish	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	363
592	Jingpo	JNP	jnp	kach1280	fish	29	ŋa.55	ŋa⁵⁵	2501	2501:fish	20	0	Jinghpaw	363
593	Yeinbaw	YEI	kar	yinb1236	fish	29	tạ.55	tạ⁵⁵	4488	4488:fish	20	0	Yinbaw Karen	635
594	Geker	GEK	kar	geko1235	fish	29	t̯aʔ.53	t̯aʔ⁵³	4488	4488:fish	20	0	Geko Karen?	635
595	Manu	MNU	kar	manu1255	fish	29	tɔ̣.33 pho.44	tɔ̣³³_pho⁴⁴	4488	4488:fish	20	0	Manumanaw Karen	635
596	W. Kayah	KYH	kar	west2409	fish	29	tɛ̣.33	tɛ̣³³	4488	4488:fish	20	0	Kayah Western	635
597	Yintale	YIN	kar	yint1235	fish	29	ta.11 phu.55	ta¹¹_phu⁵⁵	4488	4488:fish	20	0	Yintale Karen	635
598	Motuo-M	MOT	mot	dakp1242	fish	29	ŋa	ŋa	2501	2501:fish	20	0	Tawang Monpa, Dakpakha?	363
599	Lhota	LHO	naga	loth1237	fish	29	o:ŋo	oːŋo	2501	2501:fish	20	0	Naga Lotha	363
600	Yimchunrü	YIM	naga	yimc1240	fish	29	thɨŋɨ	thɨŋɨ	2501	2501:fish	20	0	Naga Yimchungru	363
601	Ao-Chungli	AOC	naga	chon1286	fish	29	aŋo	aŋo	2501	2501:fish	20	0	Naga Ao	363
602	Ao-Mongsen	AOM	naga	mong1332	fish	29	aŋa	aŋa	2501	2501:fish	20	0	Naga Ao	363
603	Nusu	NUS	nung	nusu1239	fish	29	ŋa.55	ŋa⁵⁵	2501	2501:fish	20	0	Stage 2	363
604	Serdukpen	SER	sul	sher1257	fish	29	ńu	ńu	2501	2501:fish	20	0	Stage 2	363
605	N-Qiang	QIA	syc	nort2722	fish	29	ʁʒə	ʁʒə	2719	2719:fish	20	0	Stage 2	434
606	Zhaba	ZHA	syc	zhab1238	fish	29	ŋŏ.21 co.21	ŋŏ²¹_co²¹	2501	2501:fish	20	0	Stage 2	363
607	Tujia	TUJ	tujia	nort2732	fish	29	soŋ.3	soŋ³	2501	2501:fish	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	363
608	Sherpa	SHE	tib	sher1255	fish	29	ŋya. LF	ŋya_LF	2501	2501:fish	20	0	Solu-Khumbu Sherpa	363
609	Bokar	BOK	tani	bori1243	fish	29	o ŋo:	o_ŋoː	2501	2501:fish	20	0	Stage 2	363
610	Nishi	NIS	tani	nisi1238	fish	29	ŋuyi	ŋuyi	2501	2501:fish	20	0	Nisi?	363
611	Lijiang-Naxi	LIJ	bur	lich1241	fly v.	30	mbi.31	mbi³¹	272	272:fly v.	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	444
612	Ninglang-Naxi	NIN	bur	naxi1245	fly v.	30	ʒe.13	ʒe¹³	272	272:fly v.	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	444
613	Jinuo	JIN	bur	youl1235	fly v.	30	prɛ.42	prɛ⁴²	272	272:fly v.	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	444
614	Jingpo	JNP	jnp	kach1280	fly v.	30	pje̲n.333	pje̲n³³³	276	276:fly v.	20	0	Jinghpaw	479
615	Yeinbaw	YEI	kar	yinb1236	fly v.	30	źṿ.55	źṿ⁵⁵	1458	1458:fly v.	20	0	Yinbaw Karen	134
616	Geker	GEK	kar	geko1235	fly v.	30	ji:.33	jiː³³	1458	1458:fly v.	20	0	Geko Karen?	134
617	Manu	MNU	kar	manu1255	fly v.	30	ßị.11	ßị¹¹	1458	1458:fly v.	20	0	Manumanaw Karen	134
618	W. Kayah	KYH	kar	west2409	fly v.	30	źɨə̣.11	źɨə̣¹¹	1458	1458:fly v.	20	0	Kayah Western	134
619	Yintale	YIN	kar	yint1235	fly v.	30	ju.33	ju³³	1458	1458:fly v.	20	0	Yintale Karen	134
620	Motuo-M	MOT	mot	dakp1242	fly v.	30	phen	phen	276	276:fly v.	20	0	Tawang Monpa, Dakpakha?	479
621	Lhota	LHO	naga	loth1237	fly v.	30	phyai	phyai	276	276:fly v.	20	0	Naga Lotha	479
622	Ao-Chungli	AOC	naga	chon1286	fly v.	30	ima-ao	ima-ao	77	77:fly v.	20	0	Naga Ao	752
623	Ao-Mongsen	AOM	naga	mong1332	fly v.	30	yem	yem	77	77:fly v.	20	0	Naga Ao	752
624	Nusu	NUS	nung	nusu1239	fly v.	30	bia.35	bia³⁵	272	272:fly v.	20	0	Stage 2	444
625	N-Qiang	QIA	syc	nort2722	fly v.	30	gzi	gzi	272	272:fly v.	20	0	Stage 2	444
626	Zhaba	ZHA	syc	zhab1238	fly v.	30	taŋ.21	taŋ²¹	938	938:fly v.	20	0	Stage 2	781
627	Tujia	TUJ	tujia	nort2732	fly v.	30	za.1	za¹	1280	1280:fly v.	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	100
628	Sherpa	SHE	tib	sher1255	fly v.	30	phur. LR-	phur_LR	276	276:fly v.	20	0	Solu-Khumbu Sherpa	479
629	Bokar	BOK	tani	bori1243	fly v.	30	byar	byar	276	276:fly v.	20	0	Stage 2	479
630	Nishi	NIS	tani	nisi1238	fly v.	30	ʒe-	ʒe	1280	1280:fly v.	20	0	Nisi?	100
631	Lijiang-Naxi	LIJ	bur	lich1241	foot	31	khɨ.33	khɨ³³	2340	2340:foot	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	337
632	Ninglang-Naxi	NIN	bur	naxi1245	foot	31	khɨ.31 chə.13	khɨ³¹_chə¹³	2340	2340:foot	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	337
633	Jinuo	JIN	bur	youl1235	foot	31	ʃɔ.33 khi.44	ʃɔ³³_khi⁴⁴	2340	2340:foot	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	337
634	Jingpo	JNP	jnp	kach1280	foot	31	lə.31 ko.33	lə³¹_ko³³	2256	2256:foot	20	0	Jinghpaw	324
635	Yeinbaw	YEI	kar	yinb1236	foot	31	kə̃.11 khu.55	kə̃¹¹_khu⁵⁵	2150	2150:foot	20	0	Yinbaw Karen	304
636	Geker	GEK	kar	geko1235	foot	31	kəja.22 laʔ.53	kəja²²_laʔ⁵³	1676	1676:foot	20	0	Geko Karen?	202
637	Manu	MNU	kar	manu1255	foot	31	khɔ.44 pøə.33	khɔ⁴⁴_pøə³³	2150	2150:foot	20	0	Manumanaw Karen	304
638	W. Kayah	KYH	kar	west2409	foot	31	kha.33 dɨə.11	kha³³_dɨə¹¹	2150	2150:foot	20	0	Kayah Western	304
639	Yintale	YIN	kar	yint1235	foot	31	kha.11 dau.55 l	kha¹¹_dau⁵⁵_l	2150	2150:foot	20	0	Yintale Karen	304
640	Motuo-M	MOT	mot	dakp1242	foot	31	bi	bi	6	6:foot	20	0	Tawang Monpa, Dakpakha?	738
641	Lhota	LHO	naga	loth1237	foot	31	mpo	mpo	6	6:foot	20	0	Naga Lotha	738
642	Yimchunrü	YIM	naga	yimc1240	foot	31	chiŋ	chiŋ	2720	2720:foot	20	0	Naga Yimchungru	435
643	Ao-Chungli	AOC	naga	chon1286	foot	31	tecuŋ	tecuŋ	2720	2720:foot	20	0	Naga Ao	435
644	Ao-Mongsen	AOM	naga	mong1332	foot	31	techaŋ	techaŋ	2720	2720:foot	20	0	Naga Ao	435
645	Nusu	NUS	nung	nusu1239	foot	31	khri.35	khri³⁵	2340	2340:foot	20	0	Stage 2	337
646	Serdukpen	SER	sul	sher1257	foot	31	la	la	1676	1676:foot	20	0	Stage 2	202
647	N-Qiang	QIA	syc	nort2722	foot	31	dʒa qu	dʒa_qu	2720	2720:foot	20	0	Stage 2	435
648	Zhaba	ZHA	syc	zhab1238	foot	31	khji.51	khji⁵¹	2340	2340:foot	20	0	Stage 2	337
649	Tujia	TUJ	tujia	nort2732	foot	31	ći.4	ći⁴	2340	2340:foot	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	337
650	Sherpa	SHE	tib	sher1255	foot	31	kaŋ=bɛ.HF	kaŋbɛHF	2150	2150:foot	20	0	Solu-Khumbu Sherpa	304
651	Bokar	BOK	tani	bori1243	foot	31	lə pyo	lə_pyo	1676	1676:foot	20	0	Stage 2	202
652	Nishi	NIS	tani	nisi1238	foot	31	al	al	1676	1676:foot	20	0	Nisi?	202
653	Lijiang-Naxi	LIJ	bur	lich1241	full	32	ṣər.55	ṣər⁵⁵	1561	1561:full	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	168
654	Ninglang-Naxi	NIN	bur	naxi1245	full	32	ṣu.13	ṣu¹³	1561	1561:full	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	168
655	Jinuo	JIN	bur	youl1235	full	32	prə.33	prə³³	1690	1690:full	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	209
656	Jingpo	JNP	jnp	kach1280	full	32	phʒiŋ.55	phʒiŋ⁵⁵	1690	1690:full	20	0	Jinghpaw	209
657	Yeinbaw	YEI	kar	yinb1236	full	32	bwai.55	bwai⁵⁵	2694	2694:full	20	0	Yinbaw Karen	417
658	Geker	GEK	kar	geko1235	full	32	b̄we.55	b̄we⁵⁵	2694	2694:full	20	0	Geko Karen?	417
659	Manu	MNU	kar	manu1255	full	32	biɛ.33	biɛ³³	2694	2694:full	20	0	Manumanaw Karen	417
660	W. Kayah	KYH	kar	west2409	full	32	ba.33	ba³³	2694	2694:full	20	0	Kayah Western	417
661	Yintale	YIN	kar	yint1235	full	32	pwɛ.55	pwɛ⁵⁵	2694	2694:full	20	0	Yintale Karen	417
662	Lhota	LHO	naga	loth1237	full	32	phyaŋa	phyaŋa	2694	2694:full	20	0	Naga Lotha	417
663	Yimchunrü	YIM	naga	yimc1240	full	32	khi	khi	2535	2535:full	20	0	Naga Yimchungru	370
664	Ao-Chungli	AOC	naga	chon1286	full	32	asuŋ	asuŋ	1199	1199:full	20	0	Naga Ao	76
665	Ao-Mongsen	AOM	naga	mong1332	full	32	suŋa	suŋa	1199	1199:full	20	0	Naga Ao	76
666	Nusu	NUS	nung	nusu1239	full	32	brə̃r.31	brə̃r³¹	1690	1690:full	20	0	Stage 2	209
667	Serdukpen	SER	sul	sher1257	full	32	phiŋ=di	phiŋdi	1690	1690:full	20	0	Stage 2	209
668	N-Qiang	QIA	syc	nort2722	full	32	kharp	kharp	4378	4378:full	20	0	Stage 2	598
669	Zhaba	ZHA	syc	zhab1238	full	32	pjiŋ.55	pjiŋ⁵⁵	1690	1690:full	20	0	Stage 2	209
670	Tujia	TUJ	tujia	nort2732	full	32	man.2 CHIN	man²_CHIN	-1	-1-6	20	1	Northern Tujia [nort2732] & Southern Tujia [sout2739]	16
671	Sherpa	SHE	tib	sher1255	full	32	kaṭiki.HR	kaṭikiHR	2539	2539:full	20	0	Solu-Khumbu Sherpa	372
672	Bokar	BOK	tani	bori1243	full	32	biŋ	biŋ	1690	1690:full	20	0	Stage 2	209
673	Nishi	NIS	tani	nisi1238	full	32	bɨr	bɨr	324	324:full	20	0	Nisi?	501
674	Lijiang-Naxi	LIJ	bur	lich1241	give	33	źə.55 EE	źə⁵⁵_EE	191	191:give	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	262
675	Ninglang-Naxi	NIN	bur	naxi1245	give	33	ki.32 EE	ki³²_EE	191	191:give	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	262
676	Jinuo	JIN	bur	youl1235	give	33	pi.44	pi⁴⁴	191	191:give	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	262
677	Jingpo	JNP	jnp	kach1280	give	33	tšoʔ.31	tšoʔ³¹	1171	1171:give	20	0	Jinghpaw	66
678	Yeinbaw	YEI	kar	yinb1236	give	33	phi.22	phi²²	191	191:give	20	0	Yinbaw Karen	262
679	Geker	GEK	kar	geko1235	give	33	phəiʔ.53	phəiʔ⁵³	191	191:give	20	0	Geko Karen?	262
680	Manu	MNU	kar	manu1255	give	33	i.33	i³³	4518	4518:give	20	0	Manumanaw Karen	647
681	W. Kayah	KYH	kar	west2409	give	33	die.55	die⁵⁵	931	931:give	20	0	Kayah Western	777
682	Yintale	YIN	kar	yint1235	give	33	dɛ.31	dɛ³¹	931	931:give	20	0	Yintale Karen	777
683	Motuo-M	MOT	mot	dakp1242	give	33	ge	ge	2050	2050:give	20	0	Tawang Monpa, Dakpakha?	284
684	Lhota	LHO	naga	loth1237	give	33	pi-	pi	191	191:give	20	0	Naga Lotha	262
685	Yimchunrü	YIM	naga	yimc1240	give	33	ʒi, chi	ʒi	191	191:give	20	0	Naga Yimchungru	262
686	Ao-Chungli	AOC	naga	chon1286	give	33	agɨ=cɨ	agɨcɨ	191	191:give	20	0	Naga Ao	262
687	Ao-Mongsen	AOM	naga	mong1332	give	33	khi	khi	2050	2050:give	20	0	Naga Ao	284
688	Nusu	NUS	nung	nusu1239	give	33	bi.31	bi³¹	191	191:give	20	0	Stage 2	262
689	Serdukpen	SER	sul	sher1257	give	33	na	na	2469	2469:give	20	0	Stage 2	356
690	N-Qiang	QIA	syc	nort2722	give	33	gẓə	gẓə	2050	2050:give	20	0	Stage 2	284
691	Zhaba	ZHA	syc	zhab1238	give	33	pji.21	pji²¹	191	191:give	20	0	Stage 2	262
692	Tujia	TUJ	tujia	nort2732	give	33	lie.3	lie³	1680	1680:give	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	204
693	Sherpa	SHE	tib	sher1255	give	33	ter. LF-	ter_LF	931	931:give	20	0	Solu-Khumbu Sherpa	777
694	Bokar	BOK	tani	bori1243	give	33	bi:	biː	191	191:give	20	0	Stage 2	262
695	Nishi	NIS	tani	nisi1238	give	33	ʒi	ʒi	191	191:give	20	0	Nisi?	262
696	Motuo-M	MOT	mot	dakp1242	give	33	bi	bi	191	191:give	20	0	Tawang Monpa, Dakpakha?	262
697	Lijiang-Naxi	LIJ	bur	lich1241	good	34	ka.33	ka³³	2382	2382:good	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	344
698	Ninglang-Naxi	NIN	bur	naxi1245	good	34	ʒ́ə.31	ʒ́ə³¹	1135	1135:good	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	52
699	Jinuo	JIN	bur	youl1235	good	34	mə.44	mə⁴⁴	96	96:good	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	786
700	Jingpo	JNP	jnp	kach1280	good	34	kə.31 tša.33	kə³¹_tša³³	1362	1362:good	20	0	Jinghpaw	115
701	Yeinbaw	YEI	kar	yinb1236	good	34	rau.55	rau⁵⁵	290	290:good	20	0	Yinbaw Karen	492
702	Geker	GEK	kar	geko1235	good	34	rəoʔ.53	rəoʔ⁵³	290	290:good	20	0	Geko Karen?	492
703	Manu	MNU	kar	manu1255	good	34	wɛ.33 lẹ.11	wɛ³³_lẹ¹¹	4489	4489:good	20	0	Manumanaw Karen	636
704	W. Kayah	KYH	kar	west2409	good	34	ria.55	ria⁵⁵	290	290:good	20	0	Kayah Western	492
