NUMBER	WORD	OCH	OCHNUM	PEK	PEKNUM	SCN	SCNNUM	BAI	BAINUM	FUZ	FUZNUM	HKK	HKKNUM	PAO	PAONUM	GEB	GEBNUM	KPQ	KPQNUM	YEI	YEINUM	PDN	PDNNUM	GEK	GEKNUM	MNU	MNUNUM	KYH	KYHNUM	YIN	YINNUM	SGO	SGONUM	KLQ	KLQNUM	PLC	PLCNUM	TUJ	TUJNUM	LEP	LEPNUM	MIJ	MIJNUM	KNQ	KNQNUM	SER	SERNUM	SUL	SULNUM	BGN	BGNNUM	WRT	WRTNUM	LHA	LHANUM	BAT	BATNUM	XIA	XIANUM	ALI	ALINUM	JIR	JIRNUM	SHE	SHENUM	CUO	CUONUM	MOT	MOTNUM	SNW	SNWNUM	KUL	KULNUM	KLN	KLNNUM	DUM	DUMNUM	LIM	LIMNUM	YAM	YAMNUM	DHI	DHINUM	TRN	TRNNUM	IDU	IDUNUM	MIL	MILNUM	PAD	PADNUM	SHA	SHANUM	APA	APANUM	GLQ	GLQNUM	HIL	HILNUM	BOK	BOKNUM	NIS	NISNUM	TGQ	TGQNUM	UBA	UBANUM	AKA	AKANUM	MJI	MJINUM	BOD	BODNUM	DIM	DIMNUM	GAR	GARNUM	RAB	RABNUM	KNN	KNNNUM	KNX	KNXNUM	PHO	PHONUM	CHA	CHANUM	YOG	YOGNUM	NOC	NOCNUM	WAN	WANNUM	JNP	JNPNUM	MNX	MNXNUM	RNQ	RNQNUM	SEM	SEMNUM	TAN	TANNUM	LHO	LHONUM	POC	POCNUM	SNQ	SNQNUM	YIM	YIMNUM	AOC	AOCNUM	AOM	AOMNUM	MAU	MAUNUM	KHE	KHENUM	CHO	CHONUM	KHN	KHNNUM	KHM	KHMNUM	MZI	MZINUM	ZEM	ZEMNUM	LIA	LIANUM	MRW	MRWNUM	KHQ	KHQNUM	KBQ	KBQNUM	MIK	MIKNUM	CHP	CHPNUM	MGX	MGXNUM	KHX	KHXNUM	LSH	LSHNUM	HKQ	HKQNUM	HMA	HMANUM	GAN	GANNUM	TID	TIDNUM	GUR	GURNUM	TMN	TMNNUM	THK	THKNUM	KAY	KAYNUM	WRB	WRBNUM	LAN	LANNUM	ZHA	ZHANUM	ACQ	ACQNUM	XID	XIDNUM	BOL	BOLNUM	LEQ	LEQNUM	LIJ	LIJNUM	NIN	NINNUM	JIN	JINNUM	ROU	ROUNUM	NUS	NUSNUM	ANO	ANONUM	RAW	RAWNUM	DUL	DULNUM	QIN	QINNUM	QIA	QIANUM	MUY	MUYNUM	PMQ	PMQNUM	PMI	PMINUM	ZHB	ZHBNUM	QUE	QUENUM	ERG	ERGNUM	DAO	DAONUM	SHI	SHINUM	NAM	NAMNUM	GUI	GUINUM	ERS	ERSNUM	LUS	LUSNUM	GAZ	GAZNUM	JIA	JIANUM
58	neck	k(l)eŋʔ ?V	1691		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	mʒ́iŋ pa	1691	ćiŋ.13 pə.55	1691		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	liŋ-guŋ	2540	láŋgu	2540	li:po	417	lipo	417	lɨŋ poŋ	417	lu:gu	2540	leŋpo	417	laŋguŋ	2540		0		0	godo	995		0		0	tok-raŋ	995		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	riŋ	645		0	riŋ	645		0		0		0		0		0		0		0	laŋ.31 caŋ.35	4133	liŋ.51 ciŋ.21	4133	laŋ.31 cəŋ.31	4133	ləŋ.31 cəŋ.31	4133	laŋ.55 taŋ.31	995	ləŋ.31 cəŋ.33	4133	ćər.33	4133		0	lə.42 chə.55	4133		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ta.53 ər.53	995		0		0
59	new	sin 新	1511	śīn 新	1511	śin 11 新	1511	śiN4	1511	siŋ55	1511	sin1	1511	tə.55 sa.33	1511	ʔəṭɛ.44	1511	θə́ɨ	1511	θi.55	1511	sɨ.44	1511	ṭa:.53	1511	sa.11	1511	ćɛ.33	1511	ʔa.11 ṣaŋ.35	1511	ʔəṭɔ:.44	1511	a.31 tθi̲.55 t	1511	ʔətɔʔ.53 tɔʔ.53	1511	a.3 si.1	1511	ăl	4467	kɨ.3 tan.2	4479	nyūg	611		-666	a.1 fac.1	4436		-666	gsar  pa	1205	sa:.55 pa.55	1205	sɛ.55 ba.53	1205	sho ma	1205	sho mæ	1205	sam. L1=ba. T1	1205	sam=bɛ.HF	1205	se.55 ro.53	1205	siŋ ma	1511	nak.B	611		-666	nin. L	611		-666	kɔsɔN, kasaN	1135	coŋ	1135	nawa IND	-1	miŋ.4 iŋ.1	96	me.1 eŋ.1	96		-666	a-ni	611	a-nu	611	níti	611	ali	611	nite-ne	611	nɨ ti:	611	nit	611	a-ńi	611	nit	611	ekhəń	4334	mu-guniw	611	ga=dan	4479	gadaiŋ	4479	gital	4479	pi-dan	4479	əla	4467	alapu	4467	ʒa=pɨ	1205	ham=bɨ	4263	ańal	532	ańan	532	hoʒan	1205	n.31 nan.33	532	anouba	611	kešɨ, kešiŋ	1511	akiteh	1205	kathar	1205	ethã	1205	kɨrathe	1205	asi	1511	aso	1511	tasen	1511	tesen	1511	kothu	1205	kece	1205	kɨsa	1511	kesa	1511	ke.3 sa.2	1511	kaheci	1205	karchi=be	1205	kašan	1511	satei	1205	kasam=ba	1511	kathɨ=mei	1205	kimi	96	rəw	4136	minam	4135	sahr.1	1205	thar	1205	thar	1205	thar	1205	thak	1205	thak.1	1205	cha:.2=ra	1205	char.1	1205	sam.1-pa	-1	sɔr=ba  TIB?	1205	sac	1511	sak.55	1511	a.21 sik.55	1511	ṣək.55	1511	ṣɨk.55	1511	sak.55	1511	sə̲:k.55	1511	ṣɨ.55	1511	ṣɨ.13	1511	ʃi.55	1511	ćiæ.31	1511	ʒ́ɔ.55 ɔ.31	1511	ŋɨ.31 sɛ.53	1205	aŋ səR	1205	aŋ.31 sar.55	1205	thsi.55	1511	kh=sə	1511	sâ.55 pɛ.55	1511	śi.55 śi.55 mə.	1511	ṣi.13 ṣi.13	1511	se.55 pi.33	1511		-666	sarpa TIB	-1	xso xso	1511	ṣɛ.55 hĩ.33	1511	sɨ.55 cɛ.33	1511	sö.55 pö.55	1511	sɨ.55	1511	ʒ́e.33 ʒ́e.33	4382	ma.31 mi.33	96	[kə] ʃək	1511
59	new		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	car	1205		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
60	night		0		0		0		0		0	ban4-ia4	2739		0	[lu.22 mu.22] n	550		0		0		0	[məɨʔ.53] na.22	550		0		0		0		0		0	məna.33 kha.22	550		0		0		0	rā=tiŋ	762		0		0		0	nam	538		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ya	1412		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	yaʔ=diŋ	60		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	mv.33 khv.55	2737	mv.31 khv.13	2737	mhe.42 kha.42	2737		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
60	night	lia(k) 夜	1412	yè 夜	1412	uan 2 saŋ 3 (晚上)	2739	xeN4 miɛ7	2739	maŋ55 muo55	2739	ban4 ia4	1412	mɨ.55.55 kheʔ.1	2737	lu.22 mu.22 nɛ.	2737	mə̄ŋ.hạ̀	2075	mɨ̣̃.11 ha.55	2075	mvɨ.33 khɨ.11	2737	məɨʔ.53 na.22 k	2737	lv.11 mø̣.33 k	2737	mɔ̣.44 khi.55	2737	mɨ.11 khi.55	2737	mu.53 na.33 khɔ	550		-666	məna.33 kha.22	2737	lan.3 jin.1 ch	4537	nap	551	tɨ.3 phlo.2	4480	rātiŋ	2738	nuphuŋ-saŋ	4437	a.1 bia.2	1412	habiyaw	1412	mchan mo	1209	chɛ̃.55 mo.55	1209	chẽ.55 ri.55	1209	nə mo EE	538	nən mo EE	538	gwa. L1=ka. L1	2737	nup. LR	551	ńen.12 ne.31	538	bi naŋ	550	na:k=do.B	550	se:pa	1209	sene.H	1209	si:na	1209	sɛn	1209	senda	1209	nhisanta	1209	liɨŋ.4	4360	a.3 boŋ.1 tioŋ.	4437	ayu	1412	yu-ə	1412	yɔ	1412	àyo	1412	ayo	1412	tidi	2738	a yo:	1412	ayi	1412	ayu	1412	ayu	1412	ńegi	2737	ʒaŋ-gou	2737	hor	4244	horh	4244	wal	4244	phar	4244	yán	1412	waŋńak	762	vaŋ=yak	762	naŋnak	762		-666	raŋ=pan	4278	raŋ=nak	762	šə.31 naʔ.55	550	ahiŋ	2075	kežɨki	1133	kežiliu	1133	ŋaya=šoŋ	1412	zamo-lo	1133	arɨ=za	1133	romaŋ	162	ažiŋ	1133	aonuŋ, amaŋ	162	aya, aya=naŋ	1412	chɨhra	4537	cɨzɨ	1133	tɨzɨ	1133	tizi	1133	the.3 va.3	4244	tiŋmui	94	muizeu	94	nchun	1209	tiŋ=him	2738	mula	94	ziŋbɨŋ	1133	aʒo	1412	yaʔ=diŋ	762	nambik	4137	ri:.1	762	za:n	1412	zan	1412	za:n	1412	zan	1412	za:n.1	1412	mwĩ.1=sa	162	mu.1=na	162	ŋo.3=nɛ	162	chan	1209	ńa	1412	mji.55	2739	mjin.55 le.21	2739	ni.31 ćhot.35	4138	chot.55 cin.31	4138		-666		-666	mv.33 khv.55	2739	mv.31 khv.13	2739	mhe.42 kha.42	2739	so.44 kɨ.55	1534	suɔr.35	1534	a.31 śi.55 kha.	2737	ya diŋ	2738	dɔ.31 ʒa.55 dɨ:	2738	mu.33 ʒ́o.241	162	a ṣa	1534	xu.53	4244	ćyɛ.55	1534	ʃyɛ.55 c̣hu.5	1534	ṣi.55 qho.53	4244	mche.55 TIB	-1	gɨ ćo	1534	ćva	1534	o.55 qhoa.33	4244	xĩ.33 qho.33	4244	mɔ̃.35 ŋi.55 c	162	nkhuar.55	4244		-666		-666	[tə] mor	2739
61	nose	bhit=s 鼻	303	bí=zi 鼻子	303	pi 12 cı 2 鼻子	303	ŋü2 khü6 tɨ7	4562	phei31	303	pi4 guŋ1	303	baj.33.44	243	kəni.33 khəde.4	925	na.phə́u	243	kṿ.11 bu.55	243	lv.11 phu.44	243	nəphu.44	516	nɔ̣.11 ʃhøə.3	516	nị.44 nạ.11	516	nãŋ.33 khɛ.55	516	na.22 d̄e.44	516	nɔ.55 ʒe.33	516	na.44 dɛʔ.53	516	ən.3 ćhi.1	516	nóm	516	min.1 nioŋ.2	516	tākŭs	925	nu=phuŋ	243	pɔk.1	243	ephuŋ	243	sna	516	nə.55 ku.52	516	n̥a.53	516	hna ʁoŋ	516	ʁn̥ä	516	nou. L2	516	na=wu.HF	516	na.53	516	na wuŋ	516	nẽ:.A	516	nap	516	nö. L	516	nu	516	nɛbho:, -nbho:	516	naʔu	516	nha=pu	516	xa.3 nia.4 pɨm.	516	e.1 ńaŋ.1 bo.1	243	nu-kuŋ	516	ńe-buŋ	516	yebuŋ	516	yapiŋ	516	ńepum	516	ńipum	516	ńa pum	516	ńip-pum	516	naŋ	516	nafaŋ	516	un=su, nu=su	516	ńi	516	gontoŋ	2823	guŋ	2823	giŋ	2823	kum-pak < *kuŋ-	2823	natéŋ	516	nateŋ	516	šuŋchu	516	kuŋ	2823	khauŋ	2823	kho	2823	nakuŋ	516	lə.55 ti.51	925	natol, naton	516	hikoŋ	516	anhiki	516	nataŋ	516	kenno	516	ańa=ku	516	napoŋ	516	nuboŋ	516	teni	516	tena	516	oŋhuŋ	2823	nhuka	516	unhicho	516	nhi=ca	516	ńhə.3 ca.1	516		-666	mineu	516	taniu	516	nakaŋ	516	na	516	nuton	516	nokan	516	neh	516	(mi-)mha	516	səni:.1	555	hna:r	555	hnar	555	hna:r	555	nak	555	na:k.3	555	na.1	516	na.1	516	na.1	516	nha	516	hna khauŋ:	516	nɔ̲.31	516	no̲.51	516	ńhɔŋ.55	516	nhap.31 phɔŋ.55	516	na̲.55	516	no.55	516	ńi.55 mər.31	516	ńi.33 gə.33	516	nhɔ.42 to.44	516	na.55 ã.55	516	nha.55 koŋ.35	516	sɨ.31 na.55	516	šəna	516	sɨ.31 na.55	516	χńi.31 qo.55 p	516	stəq	925	sɨ.53	4140	nhə.35 ɣiã.53	516	xiɛ̃.13 dʒõ.55	516	nha.35 ko.53	516	ćńi.55	516	sni	516	sni	516	ńa.55 qũ.33	516	ńi.33 nga.55	516	ńo.55 kũ.53	516	sɨ.55 nbu.53	4140	ki.33 mu.53	4139	na.35 khv.33	516	[tə] ʃnɔ TIB?	516
61	nose		0		0		0		0		0		0		0		0	na.phə́u	516		0		0	nəphu.44	243		0		516	nãŋ.33 khɛ.55	516	na.22 d̄e.44	925	nɔ.55 ʒe.33	925	na.44 dɛʔ.53	925		0		0		0		0	nu=phuŋ	516		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
62	not	pə 不	2790	bù 不	2790	pu 12 不	2790	a3, a5, ja5 [Zhaiwa a.21]	-1	me52	58	m2	58	ma.22.mɨ.55 nau	58	me.44 mɛ̃ʔ.53	58	sə́.mạ̀	58	cɨ.44 mṿ.22	58		-666	ḍŋəo.44 ma.31	58		-666	təmẹ.44	58	ma.11	58	mạ.33	58		-666	ma.44 wɛʔ.31	58	tha.1	863	mă	58	mai.4	58	ma	58	bi-i	2790	ba.1	2790	asi	4457	mi	58	mi.13	58		-666	mə	58		-666	men. L1	58	me. LR	58	ma.13  CHE	-666	ma	58	ma.A	58	ma	58	mu. L	58		-666	me:n	58		-666	ma	58	m.1	58	mi.1	58	uŋe	4321	maŋ	58		-666	ma	58		-666	ma	58	moŋ	58	ma	58	ma	58	hey-ma	58	ma	58	ma	58		-666	nia	4265	oŋ-ja	4265		-666	ya	4265	yapu	4265	nevai	58	ɨɣ	4264		-666	ma	58	mantai	58	n.55	58	mai, matte	58	mo	58	mo	58	maniŋ=ma	58	me	58	ńu	58	ma	58	mu	58	nuŋa	58	noŋo	58	moe	58	mo	58		-666	mo	58	mo.5	58	ma	58	makle	58	mak	58	makle	58	make	58	makge	58	mo	4141		-666	ma-	58	ma:h=kə̄	58	lo	4141	lo	4141		-666	hi=lo-e	4141		-666		-666	a.2-yin.3, a.2=	4265	ɛ.1-	4265	mhyã	58	ma.	58	mə̆.31	58	a.21	4265	ma.31	58		-666		-666		-666	mə.33	58	mə.33	58	mə.44	58	a.31	4265	ma.55	58	m.32	58	mə i	58	mɨ.31	58	mi.55	58	ma	58	ńi.35	58	ma.35	58	ma.13	58	ma.35	58		-666	mi	58		-666	mu.55	58	mɛ.33	58	me.35	58	ma.33	58		-666		-666	mɔ	58
62	not		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	makle	4141	mal	4141	makle	4141	make	4141	makge	4141		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
63	one	ʔit 一	1993	yī 一	1993	i 12 一	1993	ji6, ji5, a5	1993	suok23	4563	it5	1993	lo.44 tə.44	934	t̯əbwɛ.33	934	tà	934	tərṿ.33	934	la.11 prạ.11	1697	təprạ.33	934	təpwạ.11	934	tə.prɛ̣.11	934	tə.11	934	təɣạ.33	934	tö̲.55	934	ləɣa.33	1697	la.3	1697	kat	2044	kɨ.3 mu.4	4481	id', ī	1993	han	4438	ɦui.1	1453	jo	1453	gćig	934	ći.52	934	ćiʔ.53	934	hćaχ	934	ɣcśək	934	dok. L2=pei. L1	934	čik.HF	934	theʔ.53	934	thor	888	ka:.A	2181	i:bum	1993	tu.H	934	tɨk	934	thik=phu	934	ikko	2181	e=noŋ	1993	khɨn.1	2181	khɨn.1 ge.1	2181	aken	2181	a-tel	888	ter	888	koŋ, akó, kòn	2181	aken	2181	aken	2181	a ken	2181	akin	2181	ken	2181	akin	2181	a	4335	uŋ	4335	se	1561	se	1561	sa	1561	ek IND	-1	cà	4458	ʒa	4458	hɨk	4266	chie	1561	aši	1561	van=the	934	tuta	934	lə.55 ŋai.51	4296	ama	4481	me	4481	khe	2044	khatka	2044	macaŋa	4481	khe	2044	khe, khɨrɨ	2044	kat LOAN	-1	akha	2044	chie	2044	kali	1697	kali	1697	pɨ	337	po	337	puo.5	337	ket	2044	kat, haŋkat	2044	khad	2044	haŋline	1697	khat	2044	khɨt	2044	isi	1561	yat	1993	kəṭ	2044	tu=bu.1	934	pa-khat	2044	pakhat	2044		-666	khat	2044	khat.3	2044	gxri.2	1697	ki:.4	1697	ṭi.4	1697	ṭi	934	tac	934	ta.31	934	ʒa.21	4458	ta.31	934	ta.31	934	ta.31	934	ta.31	934	ndɨ.13	934	dɨ.33	934	thi.44	934	tɨ.31	934	thi.53	934	thi.33	934	thi	934	tiʔ.55	934	tʃi.33 TIB	-1	ći TIB	-1	tâ.35	934	ti.35	934	ti.13	934	tə.35 ćã.53	934	tɨ.55	934	ẓau	4439	ro	4439	ʒ́ĩ.35	4142	ći.33 TIB	-1	ta.33	934	tɛ.55	934	te.31	934	tɛ.31	934	[kə] tek	934
63	one		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1993		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	a.31	1993	a	1993		0		0		0		0		0		0		0		0		0		0		0		0		0		0
64	person	nin 人	560	rén 人	560	zen 12 人	560	jiN7	560	nöüŋ52	560	ŋin2	560	lou.22.22	4538	bja.33	301	prạ̀	301	prạ.55	301	prạ.11 lṿu.11	301	pra.33	301	pɔ̣.33 jɔ̣.11	301	prɛ̣.11	301	pjaŋ.11	301	pwạ:.33	301	bua.33	301	plɔʔ.53	301	lo.2	4538	mă-ró	685	coŋ.2	1368		-666	ʒirin	4435	bi.1	101	pran	4435	mi	101	mi.13	101	mi.53	101	ńə	101	mńə	101	mi. L2	101	mi. LR	101	mi.13	101	so ŋo	1530	mur.A	685	wacha	434	hɔs. L	434	mi:n	101	məna	101	yaʔmi	101	dyaŋ	1368	me.2	101	ʔi.1 me.1	101		-666	a-mi	101	tani	101	miyu	101		-666	ńi-gede	101	mi:	101		-666	ńi	101	ńi	101	nəna	101	ńih, ńuh	101	mansəj, mansi	101	subuŋ	301	mande	101	kay	4243	kahtà	4261	mi	101	šen=ńak	4262	ami	101	mai	101	mińaŋ	101	mi	101	mə.31 ša.31	101	mi=pum	101	temi	101	timi	101	mi	101	kyõ	4116	ńi=mpawa	101	ŋica=rɨ	1368	mɨ=rɨ	101	ni=suŋ	101	ami	101	omei	101	menu IND	-1	thɨma	101	thema	101	the.2 mie.3	101	mina	101	zia=menna	101	cha=mai	101		-666	mi	101	mei	101	monit	101	man.ta IA?	-1	bhur=mi	101	mi:.1	101	mi	101	mi	101	mi	101		-666	mi.1 hiŋ.2	101	mxi.1	101	mi:.3	101	mi.3	101	ʒɔntɔ  IND	-1	lu	4538	pju.31	4332	pju.51	4332	c̣o.55	4332	c̣u.55	4332	pju.55	4332	pju.31	4332	ći.33	4332	χi̲.33	4332	chə.42 zɔ.44	1368	ća.33 su.33 [	1530	su.35	1530	a.31 chaŋ.31	1368	əsaŋ	1368	a.31 caŋ.53	1368	mə.33	101	nə	101	mâ.35 ni.35	101	mə.53	101	mi.55	101	mhɨ.53	101	mhə.55	101	vʒi	4143	vʒi	4143	hĩ.55	101	cho.33	1368	mũ.35	101	su.55	1530	chuo.53	1368	cho.33	1368	[tə] rmi	101
64	person		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ŋica=rɨ	685	mɨ=rɨ	685		0		0		0		0		0		0		0		0		0	cha=mai	1368		0		0		0	arleŋ	1681		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
65	rain	u̯haʔ 雨	2579	yǔ 雨	2579	y 2 雨	2579	vu1 śui1	2579	ü31	2579	i3	2579	kham.44.55 lɔʔ.	4525	kwe.22 s̯u.33	2579	shwẹ̀	2579	ʃhwaʔ.44	2579	kaɨ̃.22 ʃhwɛ.2	2579	shwʌiʔ.53 lɔ.22	2579	kạ.44 cɨə.11	1633	kẹ.44 cɨ̣.11	1633	kan.33 dʒuw.11	1633	t̯a.51 s̯u.33	2579	mu.55 kho.31 ʒ	1633	xe.22 fə.44	2579	mɨe.3 cie.4	1633	so	2579	a.3 waŋ.1	2579	tī	990	ni=mi	112	aŋ.1 pRu.2	2579	haphi	4459	ćhar pa	1671	ćha:.55 pa.55	1671	ćha.55 ba.55	1671	ćhar wa	1671	ćhar wä	1671	čhar. L1=ba. T1	1671	cer=wɛ. LF	1671	nam.13	538	ŋam su	2579	rew.A	2579	wa	2579	wö. L	2579	hu	2579	wiʔl	2579	wari	2579	wai	2579	ka.1 ra.1	2579	a.3 ra.1	2579	ba-ʒo, ʒo-per	1671	pə-doŋ	958	podoŋ	958	mɨdo	958	nido	958	ńi-do	958	me doŋ	958	ńodo	958	nido	958	ńido	958	ńeʒə-ši	4502	phryo	2579	okaʔ	2579	ha=di	2579	mikka	4242	raŋ pha-ci	2579	wáy	2579	wai	2579	kwa	2579	laŋ	644	hraŋgin	4267	raŋpat	2579	raŋvat	2579	mə.31 ʒaŋ.33	644	chumthaŋ	1633	ceŋ=ri	1633	cɨɣo	2579	kaziŋ	1633	eru	2579	aco	1633	ciŋ	1633	cɨŋ	1633	cuŋ=lu	1633	ciŋi	1633	ochɨ=rɨ	2579	the=rɨ	2579	tɨrɨ	2579	ti=r	2579	ti.3 rə.3	2579	tiŋ=rui	2579	tiŋ=rui	2579	tiŋ	1633	kamau	112	tiŋ=ron	2579	tiŋ	1633	arve	2579	tiʔ	990	namas	112	wa.2-	2579	ruah	2579	ruah=pi	2579	ruo	2579	guoh	2579	guaʔ.3	2579	nã:.2	538	nam.2	538	nam.1 yu.1-wa	538	ʒɔri	1671	mui:	112	muk.55	112	mau.21	112	mau.31 ẓo.55	112	mau.31 ẓo.55	112	muk.55	112	mau.31 ɣɔ.55	112	χɨ.31	2579		-666	m.42 tha.55	112	mɨ.31 ɣe.42	2579	mɨ.55 a.31 rua.	2579	chɨ.55	1671	ser	2579	[nam.53] ʒaʔ.5	4144	ma.31 ẓi.55	112	mə ʁer	112	mə.55 qhâ̲.33	112	gui.53	2579	gui.55	2579	mo.33 ku.55	112	xi.55	4267	mɛ	112	mə qhi	112	xu.53	4267	hĩ.55	4267	chɔ̃.33	1633	gua.33	2579	ɣuæ.35	2579	m.31 ma.24	112	[tə] mu	112
65	rain		0		0		0		0		0		0		0		0		0		0		0	shwʌiʔ.53 lɔ.22	4525		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	o=kaʔ	4242		0		0		0		0		0		0		0		0		0		0		0		0	ceŋ=ri	2579		0		0		0		0		0		0		0		0		0		0		0		0		0	tiŋ=rui	1633	tiŋ=rui	1633		0		0	tiŋ=ron	2579		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ma.31 ẓi.55	2579	mə ʁe=r	2579		0		0		0		0		0		0		0		0		0		0		0		0		0		0
66	red	khiak 赤	2699	xóŋ 紅	4564	xoŋ 12 紅	4564	chɛ6	2699	öüŋ52	4564	fuŋ2	4564	ʔa.11 tə.11 nia	606	ʔəli.33	1924	lẹ̀	1924	lẹ.11	1924	lẹi.11	1924	lei.33	1924	lịɛ.11	1924	lị.11	1924	ʔa.11 leŋ.33	1924	ʔəɣɔ.33	699	a.31 ɣo.33	699	ʔəɣɔ.33 gɔ.33	699	mian.1 ćie.1	99	a-hyir	2741	kau.4 sai.2	4482	šwikh'	1131	chek	1131	a.1 jic.1	1131	ešei	1131	dmar po	99	ma:.55 po.55	99	ma.55 ma.55	99	hma ro	99	ɣmæ ro	99	mor. L1=mu. L1	99	mar=wu. LF	99	leu.55	1924	ca lo	1924	lal.A	2741	halala:pa	2741	halalam. L	2741	hi:=təm	2017	ku=hɛt=la	4397	harra	2741	i=ka	2741	ši.4	1131	ši.1 na.4	1131	ya-loŋ	1973	ya-lɨŋ	1973	lɨ-nama	1973		-666		-666	lɨchin	1973	lɨŋ kaŋ	1973	lɨchi	1973	yalɨŋ	1973	ya=laŋ	1973	cuw	1131	mu-cu	1131	zaʔ	1131	gaʒao	1131	gicak	1131	sak-a	1131	tak, ətək	918	kaheŋ=bu	2699	hakei=pu	2699	saklaŋ=bu	1973	ašaŋ	2721	achak	1131	khi	2699	khje.33	2699	aŋaŋ=ba	4146	kemhoŋ	2578	akuhu	2578	kahuŋa	2578	rakata IND	-1	kɨmru	727	amo	99	kaišan	1210	temerem	727	tɨmiram	727	koŋho	2578		-666	kɨmɨre	727	kemeri	727	me.3 rie.2	727	gie	2699	kege=be	2699	kaheŋ=bu	2578	tam	468	kahaŋ=ba	2578	kemwe	2578	er	2741	du-	891	gya	2699	gyahm.2	4145	šen	1210	sen	1210	sen	1210	san	1210		-666	ol.1	2741	wa.2=la	2741	o.1=la	2741	lho=mo	1924	ni	606	nɛ.31	606	ne.51	606	na.55	606	na.55	606	nɛ.55	606	nɛ:.31	606	ćy.31	1131	χũ.33	4145	a.33 nhə.44 lə.	606	ne.33	606	xri.35	2618	bɨ.31 se.31	4482	zəR	4482	pɨ.31 sai.53	4482	χńi.31 ńi.33	606	śi zi	606	ni.55 ni.33	606	ńɛ.55 mə.53	606	nö.55	606	nhi.55 nhi.55	606	ńhe.55 ńhe.33	606	nɣiŋ nɣi	606	[gɛ] ngi	606	hĩ.35 liɛ.33 l	606	ło.55 xo.33	1924	ńi.55 xĩ.55	606	ńi.55	606	de.33 ńi.53	606	ŋ.24	606	[kə] wu rne	606
